 2024-05-01 16:13:15,092 - Key.tab
 2024-05-01 16:13:18,772 - Key.alt
 2024-05-01 16:13:21,366 - Key.tab
 2024-05-01 16:13:21,680 - Key.alt
 2024-05-01 16:13:28,041 - 'k'
 2024-05-01 16:13:29,272 - 'i'
 2024-05-01 16:13:29,513 - 'o'
 2024-05-01 16:13:29,839 - 'p'
 2024-05-01 16:13:30,850 - 'e'
 2024-05-01 16:13:31,028 - 'n'
 2024-05-01 16:13:31,769 - Key.alt
 2024-05-01 16:13:31,964 - Key.tab
 2024-05-01 16:13:39,395 - Key.alt
 2024-05-01 16:13:39,596 - Key.tab
 2024-05-01 16:13:42,812 - 'j'
 2024-05-01 16:13:42,835 - 'f'
 2024-05-01 16:13:43,007 - 'j'
 2024-05-01 16:13:43,228 - 'f'
 2024-05-01 16:13:43,365 - 'r'
 2024-05-01 16:13:43,404 - 'j'
 2024-05-01 16:13:43,447 - 'i'
 2024-05-01 16:13:43,694 - Key.alt
 2024-05-01 16:13:43,896 - Key.tab
 2024-05-01 16:13:47,744 - Key.alt
 2024-05-01 16:14:10,980 - Key.tab
 2024-05-01 16:14:13,714 - Key.alt
 2024-05-01 16:14:14,931 - Key.tab
 2024-05-01 16:14:15,284 - Key.alt
 2024-05-01 16:14:18,058 - Key.backspace
 2024-05-01 16:14:18,559 - Key.backspace
 2024-05-01 16:14:18,589 - Key.backspace
 2024-05-01 16:14:18,620 - Key.backspace
 2024-05-01 16:14:18,650 - Key.backspace
 2024-05-01 16:14:18,680 - Key.backspace
 2024-05-01 16:14:18,710 - Key.backspace
 2024-05-01 16:14:18,742 - Key.backspace
 2024-05-01 16:14:18,772 - Key.backspace
 2024-05-01 16:14:18,803 - Key.backspace
 2024-05-01 16:14:18,834 - Key.backspace
 2024-05-01 16:14:18,864 - Key.backspace
 2024-05-01 16:14:18,894 - Key.backspace
 2024-05-01 16:14:18,925 - Key.backspace
 2024-05-01 16:14:18,956 - Key.backspace
 2024-05-01 16:14:18,981 - Key.alt
 2024-05-01 16:14:18,985 - Key.backspace
 2024-05-01 16:14:19,015 - Key.backspace
 2024-05-01 16:14:19,045 - Key.backspace
 2024-05-01 16:14:19,155 - Key.tab
 2024-05-01 16:14:22,287 - Key.alt
 2024-05-01 16:14:22,467 - Key.tab
 2024-05-01 16:14:23,563 - 'b'
 2024-05-01 16:14:23,656 - 'h'
 2024-05-01 16:14:23,824 - 'e'
 2024-05-01 16:14:23,842 - 'r'
 2024-05-01 16:14:24,243 - Key.alt
 2024-05-01 16:14:24,405 - Key.tab
 2024-05-01 16:14:26,306 - Key.alt
 2024-05-01 16:14:26,477 - Key.tab
 2024-05-01 16:14:27,097 - Key.alt
 2024-05-01 16:14:27,314 - Key.tab
 2024-05-01 16:14:27,910 - Key.alt
